,case_id,activity,timestamp,date,resource,group,ct,at,tt,case_start,case_end,case_duration_days
0,1-109135791,Queued-Awaiting Assignment,2006-01-12 00:49:42,2006-01-12,Minnie,Org line A2,High impact,,Thu,2006-01-12 00:49:42,2012-03-15 21:11:33,2254
5,1-147898401,Accepted-In Progress,2006-11-07 19:00:36,2006-11-07,Tomas,Org line A2,Medium impact,,Tue,2006-11-07 19:00:36,2012-01-20 19:23:27,1900
6,1-147898401,Accepted-In Progress,2006-11-07 22:05:44,2006-11-07,Tomas,Org line A2,Medium impact,,Tue,2006-11-07 19:00:36,2012-01-20 19:23:27,1900
11,1-165554831,Accepted-In Progress,2007-03-20 18:06:25,2007-03-20,Tomas,Org line A2,Medium impact,,Tue,2007-03-20 18:06:25,2012-01-18 17:52:43,1764
16,1-172473423,Accepted-In Progress,2007-05-11 00:21:54,2007-05-11,Tomas,Org line A2,Low impact,,Fri,2007-05-11 00:21:54,2012-01-18 17:21:10,1713
21,1-182640781,Accepted-In Progress,2007-07-25 22:21:05,2007-07-25,Niklas,Org line A2,Medium impact,,Wed,2007-07-25 22:21:05,2012-01-03 20:31:53,1622
28,1-230541365,Accepted-In Progress,2008-05-08 02:58:51,2008-05-08,Tomas,Org line A2,High impact,,Thu,2008-05-08 02:58:51,2012-01-20 16:53:35,1352
35,1-236817141,Accepted-In Progress,2008-06-04 20:02:18,2008-06-04,Tomas,Org line A2,Medium impact,,Wed,2008-06-04 20:02:18,2012-01-05 23:09:00,1310
29,1-230541365,Accepted-In Progress,2008-10-07 00:44:37,2008-10-07,Tomas,Org line A2,High impact,,Tue,2008-05-08 02:58:51,2012-01-20 16:53:35,1352
42,1-270399977,Accepted-In Progress,2008-11-13 18:43:32,2008-11-13,Juan,Org line V7n,High impact,,Thu,2008-11-13 18:43:32,2012-03-19 18:26:32,1221
50,1-270427461,Accepted-In Progress,2008-11-13 20:01:04,2008-11-13,Tomas,Org line A2,Low impact,,Thu,2008-11-13 20:01:04,2012-01-18 19:19:21,1160
55,1-310231291,Accepted-In Progress,2009-06-25 17:47:52,2009-06-25,Mats,Org line A2,Medium impact,,Thu,2009-06-25 17:47:52,2012-03-28 21:12:08,1007
58,1-316086072,Accepted-In Progress,2009-08-11 16:44:51,2009-08-11,Per,Org line C,Medium impact,,Tue,2009-08-11 16:44:51,2012-02-20 06:57:21,922
59,1-316086072,Queued-Awaiting Assignment,2009-08-11 16:55:12,2009-08-11,Per,Org line C,Medium impact,,Tue,2009-08-11 16:44:51,2012-02-20 06:57:21,922
60,1-316086072,Accepted-Assigned,2009-08-11 20:01:25,2009-08-11,Per,Org line C,Medium impact,,Tue,2009-08-11 16:44:51,2012-02-20 06:57:21,922
67,1-320604521,Accepted-In Progress,2009-09-07 22:33:24,2009-09-07,Richard,Org line C,Low impact,,Mon,2009-09-07 22:33:24,2012-04-30 20:21:43,965
68,1-320604521,Unmatched-Unmatched,2009-09-14 19:37:50,2009-09-14,Richard,Org line C,Low impact,,Mon,2009-09-07 22:33:24,2012-04-30 20:21:43,965
70,1-322204195,Queued-Awaiting Assignment,2009-09-17 06:42:12,2009-09-17,Adam,Org line A2,Medium impact,,Thu,2009-09-17 06:42:12,2012-05-24 19:03:31,980
80,1-322581861,Accepted-In Progress,2009-09-18 20:50:02,2009-09-18,Stefan,Org line C,Low impact,,Fri,2009-09-18 20:50:02,2012-03-13 20:53:35,907
83,1-322980802,Accepted-In Progress,2009-09-21 22:13:43,2009-09-21,Kerstin,Org line V2,Medium impact,,Mon,2009-09-21 22:13:43,2012-02-07 22:22:11,869
85,1-323264491,Accepted-In Progress,2009-09-22 22:22:05,2009-09-22,Reine,Org line C,Low impact,,Tue,2009-09-22 22:22:05,2012-05-24 18:57:49,974
86,1-323264491,Accepted-Assigned,2009-09-22 22:25:17,2009-09-22,Reine,Org line C,Low impact,,Tue,2009-09-22 22:22:05,2012-05-24 18:57:49,974
88,1-323462732,Accepted-In Progress,2009-09-23 19:52:27,2009-09-23,Rajashekar,Org line A2,High impact,,Wed,2009-09-23 19:52:27,2012-04-19 18:01:38,938
71,1-322204195,Accepted-In Progress,2009-09-28 19:26:19,2009-09-28,Adam,Org line A2,Medium impact,,Mon,2009-09-17 06:42:12,2012-05-24 19:03:31,980
