,case_id,activity,timestamp,date,resource,group,ct,at,tt,case_start,case_end,case_duration_days
186,1-345255471,Accepted-In Progress,2010-01-15 00:02:21,2010-01-15,Mats,G88 2nd,Medium impact,,5-Fri,2010-01-15 00:02:21,2012-02-08 17:14:29,754
187,1-345255471,Queued-Awaiting Assignment,2010-01-16 00:10:22,2010-01-16,Mats,G88 2nd,Medium impact,,6-Sat,2010-01-15 00:02:21,2012-02-08 17:14:29,754
209,1-351314317,Accepted-In Progress,2010-02-03 18:34:32,2010-02-03,Ewa,G21 2nd,Medium impact,,3-Wed,2010-02-03 18:34:32,2012-01-03 22:13:02,699
210,1-351314317,Queued-Awaiting Assignment,2010-02-03 18:45:18,2010-02-03,Ewa,G21 2nd,Medium impact,,3-Wed,2010-02-03 18:34:32,2012-01-03 22:13:02,699
211,1-351314317,Accepted-In Progress,2010-02-03 19:40:51,2010-02-03,Ewa,G21 2nd,Medium impact,,3-Wed,2010-02-03 18:34:32,2012-01-03 22:13:02,699
212,1-351314317,Accepted-Assigned,2010-02-03 19:40:58,2010-02-03,Ewa,G21 2nd,Medium impact,,3-Wed,2010-02-03 18:34:32,2012-01-03 22:13:02,699
274,1-358038911,Accepted-In Progress,2010-03-04 04:25:03,2010-03-04,Daniel,S30 2nd,Medium impact,,4-Thu,2010-03-04 04:25:03,2012-01-17 16:59:59,684
275,1-358038911,Unmatched-Unmatched,2010-03-12 00:44:02,2010-03-12,Daniel,S30 2nd,Medium impact,,5-Fri,2010-03-04 04:25:03,2012-01-17 16:59:59,684
355,1-365189372,Accepted-In Progress,2010-04-06 23:35:51,2010-04-06,Gustav,S30 2nd,Low impact,,2-Tue,2010-04-06 23:35:51,2012-02-22 00:00:21,686
356,1-365189372,Unmatched-Unmatched,2010-04-07 16:30:28,2010-04-07,Gustav,S30 2nd,Low impact,,3-Wed,2010-04-06 23:35:51,2012-02-22 00:00:21,686
596,1-375670011,Accepted-In Progress,2010-05-25 22:17:44,2010-05-25,Helene,S30 2nd,Medium impact,,2-Tue,2010-05-25 22:17:44,2012-01-16 23:31:56,601
598,1-376424233,Accepted-Assigned,2010-05-28 18:41:08,2010-05-28,Björn,S30 2nd,High impact,,5-Fri,2010-05-28 18:41:08,2012-01-16 22:42:34,598
733,1-381124870,Accepted-In Progress,2010-06-18 16:42:27,2010-06-18,Mikael,S33 2nd,High impact,,5-Fri,2010-06-18 16:42:27,2012-01-25 04:02:38,585
734,1-381124870,Accepted-Assigned,2010-06-18 16:45:02,2010-06-18,Mikael,S33 2nd,High impact,,5-Fri,2010-06-18 16:42:27,2012-01-25 04:02:38,585
735,1-381124870,Accepted-In Progress,2010-06-28 19:02:56,2010-06-28,Mikael,S33 2nd,High impact,,1-Mon,2010-06-18 16:42:27,2012-01-25 04:02:38,585
783,1-385201933,Accepted-In Progress,2010-07-08 12:50:41,2010-07-08,Joakim,S33 2nd,High impact,,4-Thu,2010-07-08 12:50:41,2012-01-26 20:39:55,567
784,1-385201933,Queued-Awaiting Assignment,2010-07-08 13:04:25,2010-07-08,Joakim,S33 2nd,High impact,,4-Thu,2010-07-08 12:50:41,2012-01-26 20:39:55,567
785,1-385201933,Accepted-Assigned,2010-07-09 23:06:01,2010-07-09,Mikael,S33 2nd,High impact,,5-Fri,2010-07-08 12:50:41,2012-01-26 20:39:55,567
870,1-390722958,Accepted-In Progress,2010-08-11 18:39:44,2010-08-11,Christer,S30 2nd,Low impact,,3-Wed,2010-08-11 18:39:44,2012-03-23 22:54:08,590
276,1-358038911,Accepted-In Progress,2010-08-16 19:54:31,2010-08-16,Daniel,S30 2nd,Medium impact,,1-Mon,2010-03-04 04:25:03,2012-01-17 16:59:59,684
277,1-358038911,Accepted-Wait,2010-08-16 20:13:10,2010-08-16,Daniel,S30 2nd,Medium impact,,1-Mon,2010-03-04 04:25:03,2012-01-17 16:59:59,684
736,1-381124870,Accepted-Wait,2010-09-01 20:09:24,2010-09-01,Mikael,S33 2nd,High impact,,3-Wed,2010-06-18 16:42:27,2012-01-25 04:02:38,585
912,1-397806545,Accepted-In Progress,2010-09-02 17:57:26,2010-09-02,Mikael,S33 2nd,High impact,,4-Thu,2010-09-02 17:57:26,2012-01-20 02:11:17,504
913,1-397806545,Accepted-Assigned,2010-09-02 18:16:56,2010-09-02,Mikael,S33 2nd,High impact,,4-Thu,2010-09-02 17:57:26,2012-01-20 02:11:17,504
914,1-397806545,Accepted-In Progress,2010-09-06 23:13:11,2010-09-06,Mikael,S33 2nd,High impact,,1-Mon,2010-09-02 17:57:26,2012-01-20 02:11:17,504
915,1-397806545,Accepted-Wait,2010-09-07 20:13:23,2010-09-07,Mikael,S33 2nd,High impact,,2-Tue,2010-09-02 17:57:26,2012-01-20 02:11:17,504
786,1-385201933,Accepted-Assigned,2010-09-07 21:57:19,2010-09-07,Per,S33 2nd,High impact,,2-Tue,2010-07-08 12:50:41,2012-01-26 20:39:55,567
934,1-400528782,Accepted-In Progress,2010-09-10 00:58:05,2010-09-10,Helene,S30 2nd,Medium impact,,5-Fri,2010-09-10 00:58:05,2012-02-22 00:22:08,529
939,1-402212071,Accepted-In Progress,2010-09-16 18:24:07,2010-09-16,Helene,S30 2nd,Medium impact,,4-Thu,2010-09-16 18:24:07,2012-01-16 23:49:15,487
787,1-385201933,Accepted-In Progress,2010-09-23 18:26:35,2010-09-23,Per,S33 2nd,High impact,,4-Thu,2010-07-08 12:50:41,2012-01-26 20:39:55,567
966,1-404005175,Accepted-In Progress,2010-09-24 00:32:09,2010-09-24,Per,S33 2nd,Low impact,,5-Fri,2010-09-24 00:32:09,2012-01-26 21:06:11,489
969,1-404084309,Accepted-In Progress,2010-09-24 03:58:12,2010-09-24,Per,S33 2nd,Low impact,,5-Fri,2010-09-24 03:58:12,2012-03-01 00:32:38,523
1029,1-407517548,Accepted-In Progress,2010-10-07 23:39:55,2010-10-07,Michael,G88 2nd,Medium impact,,4-Thu,2010-10-07 23:39:55,2012-01-12 02:15:59,461
1134,1-418890453,Accepted-In Progress,2010-11-10 19:48:43,2010-11-10,Gustav,S30 2nd,Medium impact,,3-Wed,2010-11-10 19:48:43,2012-02-22 00:25:20,468
1160,1-422418092,Accepted-In Progress,2010-11-20 03:20:40,2010-11-20,Viktoria,S30 2nd,Medium impact,,6-Sat,2010-11-20 03:20:40,2012-03-07 00:07:20,472
