,case_id,activity,timestamp,date,resource,group,ct,at,tt,case_start,case_end,case_duration_days
1565,case-416,Confirmation of receipt - complete,2010-10-20 20:56:58.348,2010-10-20,Resource21,Group 1,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-10-20 20:56:58.348,2010-11-08 23:07:42.360,19
1566,case-416,T02 Check confirmation of receipt - complete,2010-10-20 20:57:49.263,2010-10-20,Resource21,Group 4,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-10-20 20:56:58.348,2010-11-08 23:07:42.360,19
1567,case-416,T04 Determine confirmation of receipt - complete,2010-10-20 20:58:58.565,2010-10-20,Resource21,Group 3,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-10-20 20:56:58.348,2010-11-08 23:07:42.360,19
1568,case-416,T05 Print and send confirmation of receipt - complete,2010-10-20 20:59:23.662,2010-10-20,Resource21,Group 2,channel:Internet,t01--t05 confirm receipt,3-Wed,2010-10-20 20:56:58.348,2010-11-08 23:07:42.360,19
1569,case-416,T06 Determine necessity of stop advice - complete,2010-10-20 21:02:33.507,2010-10-20,Resource21,Group 1,channel:Internet,t06 determine necessity of stop advice,3-Wed,2010-10-20 20:56:58.348,2010-11-08 23:07:42.360,19
1259,case-3989,Confirmation of receipt - complete,2010-10-22 17:57:23.546,2010-10-22,Resource12,Group 1,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-10-22 17:57:23.546,2010-10-22 17:59:36.800,0
1260,case-3989,T02 Check confirmation of receipt - complete,2010-10-22 17:57:46.254,2010-10-22,Resource12,Group 4,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-10-22 17:57:23.546,2010-10-22 17:59:36.800,0
1261,case-3989,T04 Determine confirmation of receipt - complete,2010-10-22 17:58:13.317,2010-10-22,Resource12,Group 3,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-10-22 17:57:23.546,2010-10-22 17:59:36.800,0
1262,case-3989,T05 Print and send confirmation of receipt - complete,2010-10-22 17:58:35.137,2010-10-22,Resource12,Group 2,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-10-22 17:57:23.546,2010-10-22 17:59:36.800,0
1263,case-3989,T06 Determine necessity of stop advice - complete,2010-10-22 17:59:04.836,2010-10-22,Resource12,Group 1,channel:Internet,t06 determine necessity of stop advice,5-Fri,2010-10-22 17:57:23.546,2010-10-22 17:59:36.800,0
1264,case-3989,T10 Determine necessity to stop indication - complete,2010-10-22 17:59:36.800,2010-10-22,Resource12,Group 1,channel:Internet,t10 determine necessity to stop indication,5-Fri,2010-10-22 17:57:23.546,2010-10-22 17:59:36.800,0
1265,case-3991,Confirmation of receipt - complete,2010-10-22 19:17:05.605,2010-10-22,Resource04,Group 1,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-10-22 19:17:05.605,2010-10-22 19:34:43.024,0
1266,case-3991,T06 Determine necessity of stop advice - complete,2010-10-22 19:23:44.282,2010-10-22,Resource04,Group 1,channel:Internet,t06 determine necessity of stop advice,5-Fri,2010-10-22 19:17:05.605,2010-10-22 19:34:43.024,0
1267,case-3991,T02 Check confirmation of receipt - complete,2010-10-22 19:23:58.873,2010-10-22,Resource04,Group 4,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-10-22 19:17:05.605,2010-10-22 19:34:43.024,0
1268,case-3991,T04 Determine confirmation of receipt - complete,2010-10-22 19:24:08.474,2010-10-22,Resource04,Group 3,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-10-22 19:17:05.605,2010-10-22 19:34:43.024,0
1269,case-3991,T10 Determine necessity to stop indication - complete,2010-10-22 19:30:31.019,2010-10-22,Resource04,Group 1,channel:Internet,t10 determine necessity to stop indication,5-Fri,2010-10-22 19:17:05.605,2010-10-22 19:34:43.024,0
1270,case-3991,T05 Print and send confirmation of receipt - complete,2010-10-22 19:34:43.024,2010-10-22,Resource04,Group 2,channel:Internet,t01--t05 confirm receipt,5-Fri,2010-10-22 19:17:05.605,2010-10-22 19:34:43.024,0
